mybibtex_key,Author(s),Title,Outlet,DOI,Cluster,Year of publication,size,closeness_centrality,degree_centrality
silva-gago_visual_2022,silva-gago m;ioannidou f;fedato t;bruner e,visual attention and cognitive archaeology: an eye-tracking study of palaeolithic stone tools,perception,10.1177/03010066211069504,4,2022,29,0.6388515812673515,0.12224938875305623
mika_north_2021,mika a;buchanan b;walker r;key b;bebber m;eren m,north american clovis point form and performance iii: an experimental assessment of knife cutting efficiency,lithic technology,10.1080/01977261.2021.2016257,3,2021,39,0.7247924226240969,0.2665036674816626
oviedo_original_2022,oviedo l,original sin: the new scientific context as challenge and opportunity,theology and science,10.1080/14746700.2021.2012926,1,2022,14,0.3540841514077758,0.012224938875305624
xie_conservative_2021,xie l;lun c;jiang l;sun g,"conservative style, liberal production: hemudu's binary system for maintaining its scapular shovel tradition in the southern yangzi delta, 7000-6000 bp",frontiers in earth science,10.3389/feart.2021.792248,1,2021,167,0.6612436719864996,0.5672371638141809
chernela_work_2021,chernela j,"the work and influence of robert l.carneiro, cultural evolutionist and pioneerin amazonian anthropology<br>",journal of anthropological research,10.1086/716754,5,2021,8,0.6599588989604495,0.08068459657701711
oxman_reflections_2021,oxman te,reflections on tribalism and aging,american journal of geriatric psychiatry,10.1016/j.jagp.2021.05.001,1,2021,7,0.35091325395692363,0.05623471882640587
ma_animals_2021,ma s;doyon l,animals for tools: the origin and development of bone technologies in china,frontiers in earth science,10.3389/feart.2021.784313,4,2021,7,0.8312801709715119,0.2078239608801956
pang_historical_2021,pang m,an historical overview of the field of study of human remains in south korean archaeology,international journal of osteoarchaeology,10.1002/oa.3070,2,2021,1,0.2676113625663831,0.0024449877750611247
palecek_ontological_2021,palecek m,the ontological turn revisited: theoretical decline. why cannot ontologists fulfil their promise?,anthropological theory,10.1177/14634996211050610,1,2021,52,0.6502313959285703,0.2591687041564792
biagetti_quantitative_2021,biagetti s;zurro d;alcaina-mateos e;madella m,quantitative analysis of drought management strategies across ethnographically-researched african societies: a pilot study,land,10.3390/land10101062,2,2021,3,0.4967579348483725,0.26405867970660146
savage_music_2021,savage pe;loui p;tarr b;schachner a;glowacki l;mithen s;fitch wt,music as a coevolved system for social bonding,behavioral and brain sciences,10.1017/s0140525x20000333,1,2021,19,0.7785109655710791,0.6356968215158925
aguirre-fernandez_cultural_2021,aguirre-fernandez g;barbieri c;graff a;de;arce jp;moreno h;sanchez-villagra mr,cultural macroevolution of musical instruments in south america,humanities \& social sciences communications,10.1057/s41599-021-00881-z,1,2021,1,0.6688380906103794,0.18092909535452323
matzig_design_2021,matzig dn;hussain st;riede f,"design space constraints and the cultural taxonomy of european final palaeolithic large tanged points: a comparison of typological, landmark-based and whole-outline geometric morphometric approaches",journal of paleolithic archaeology,10.1007/s41982-021-00097-2,3,2021,110,0.7552750727035983,0.3863080684596577
laskar_impact_2021,laskar ah;bohra a,impact of indian summer monsoon change on ancient indian civilizations during the holocene,frontiers in earth science,10.3389/feart.2021.709455,2,2021,19,0.5858630436482961,0.09290953545232274
hong_cultural_2021,hong z;henrich j,the cultural evolution of epistemic practices the case of divination,human nature-an interdisciplinary biosocial perspective,10.1007/s12110-021-09408-6,1,2021,18,0.7385967768867592,0.5745721271393643
yang_long-term_2021,yang b;qin c;braeuning a;osborn v;ljungqvist fc;esper l;griessinger j;buentgen u;rossi s;dong g;yan m;ning l;wang j;wang x;wang s;luterbacher j;cook er;stenseth nc,"long-term decrease in asian monsoon rainfall and abrupt climate change events over the past 6,700 years",proceedings of the national academy of sciences of the united states of america,10.1073/pnas.2102007118,2,2021,91,0.7309846896317937,0.09535452322738386
harush_toward_2021,harush o;grosman l,toward the identification of social signatures in ceramic production - an archaeological case study,plos one,10.1371/journal.pone.0254766,3,2021,2,0.6154295464282745,0.36185819070904646
hartigan_knowing_2021,hartigan j,knowing animals: multispecies ethnography and the scope of anthropology,american anthropologist,10.1111/aman.13631,1,2021,4,0.5602428035349081,0.06601466992665037
lehman_ecology_2021,lehman c;loberg s;wilson m;gorham e,ecology of the anthropocene signals hope for consciously managing the planetary ecosystem,proceedings of the national academy of sciences of the united states of america,10.1073/pnas.2024150118,2,2021,33,0.5085216375268878,0.05867970660146699
freeman_radiocarbon_2021,freeman j;hard rj;mauldin rp;anderies jm,radiocarbon data may support a malthus-boserup model of hunter-gatherer population expansion,journal of anthropological archaeology,10.1016/j.jaa.2021.101321,2,2021,28,0.6051031946222574,0.22493887530562348
birch_cultural_2021,birch j;heyes c,the cultural evolution of cultural evolution,philosophical transactions of the royal society b-biological sciences,10.1098/rstb.2020.0051,1,2021,7,0.7236233886814263,0.6674816625916871
teixidor-toneu_historical_2021,teixidor-toneu i;kool a;greenhill k;sandstedt jj;manzanilla fm,"historical, archaeological and linguistic evidence test the phylogenetic inference of viking-age plant use",philosophical transactions of the royal society b-biological sciences,10.1098/rstb.2020.0086,1,2021,7,0.5027187265021801,0.16381418092909536
li_spatial_2021,li k;gao w;wu l;hu h;gong p;li s;jin r;si y,"spatial expansion of human settlement during the longshan period (similar to 4.5-similar to 3.9 ka bp) and its hydroclimatic contexts in the lower yellow river floodplain, eastern china",land,10.3390/land10070712,2,2021,41,0.5888571035043082,0.13202933985330073
rotem_late_2021,rotem y;iserlis m;rosenblum a;rothman ms,a late 4th millennium bce cylinder-seal amulet from tel yaqush and its contribution to the understanding of eb i-ii communities in the central jordan valley,levant,10.1080/00758914.2021.1926723,5,2021,39,0.6676391167339367,0.04156479217603912
zwyns_initial_2021,zwyns n,"the initial upper paleolithic in central and east asia: blade technology, cultural transmission, and implications for human dispersals",journal of paleolithic archaeology,10.1007/s41982-021-00085-6,4,2021,27,0.8262657839058173,0.8361858190709046
wang_spatiotemporal_2021,wang l;cui y,"the spatiotemporal pattern of cultural evolution response to agricultural development and climate change from yangshao culture to bronze age in the yellow river basin and surrounding regions, north china",frontiers in earth science,10.3389/feart.2021.657179,2,2021,11,0.6922410141971113,0.12469437652811736
spengler_niche_2021,spengler rn,niche construction theory in archaeology: a critical review,journal of archaeological method and theory,10.1007/s10816-021-09528-4,1,2021,12,0.8909766052688047,0.508557457212714
barton_artifacts_2021,barton cm;clark ga,"from artifacts to cultures: technology, society, and knowledge in the upper paleolithic",journal of paleolithic archaeology,10.1007/s41982-021-00091-8,4,2021,1,0.7426306008705094,0.684596577017115
