"mybibtex_key","Author(s)","Title","Outlet","DOI","Cluster","Year of publication","closeness_centrality"
"oviedo_original_2022","oviedo l","original sin: the new scientific context as challenge and opportunity","theology and science","10.1080/14746700.2021.2012926",1,2022,0.41265963657085
"xie_conservative_2021","xie l;lun c;jiang l;sun g","conservative style, liberal production: hemudu's binary system for maintaining its scapular shovel tradition in the southern yangzi delta, 7000-6000 bp","frontiers in earth science","10.3389/feart.2021.792248",1,2021,0.729744011994772
"palecek_ontological_2021","palecek m","the ontological turn revisited: theoretical decline. why cannot ontologists fulfil their promise?","anthropological theory","10.1177/14634996211050610",1,2021,0.549705089591883
"savage_music_2021","savage pe;loui p;tarr b;schachner a;glowacki l;mithen s;fitch wt","music as a coevolved system for social bonding","behavioral and brain sciences","10.1017/s0140525x20000333",1,2021,0.608190891508536
"hong_cultural_2021","hong z;henrich j","the cultural evolution of epistemic practices the case of divination","human nature-an interdisciplinary biosocial perspective","10.1007/s12110-021-09408-6",1,2021,0.660642773904908
"hartigan_knowing_2021","hartigan j","knowing animals: multispecies ethnography and the scope of anthropology","american anthropologist","10.1111/aman.13631",1,2021,0.350236720181298
"birch_cultural_2021","birch j;heyes c","the cultural evolution of cultural evolution","philosophical transactions of the royal society b-biological sciences","10.1098/rstb.2020.0051",1,2021,0.70765387987476
"spengler_niche_2021","spengler rn","niche construction theory in archaeology: a critical review","journal of archaeological method and theory","10.1007/s10816-021-09528-4",1,2021,0.679596390606969
"motes-rodrigo_method_2021","motes-rodrigo a;tennie c","the method of local restriction: in search of potential great ape culture-dependent forms","biological reviews","10.1111/brv.12710",1,2021,0.654789735096591
"iovita_operationalizing_2021","iovita r;braun dr;douglass mj;holdaway sj;lin sc;olszewski d;rezek z","operationalizing niche construction theory with stone tools","evolutionary anthropology","10.1002/evan.21881",1,2021,0.560637503736356
"szabo_equipment_2021","szabo l;bereczkei t","the equipment of the tyrolean iceman: innovation versus adaptation in the cultural evolution of prehistoric technologies","journal of anthropological sciences","10.4436/jass.99004",1,2021,0.828227934569501
"pain_mind_2021","pain r;brown rl","mind the gap: a more evolutionarily plausible role for technical reasoning in cumulative technological culture","synthese","10.1007/s11229-020-02894-8",1,2021,0.490949945995421
"kapitany_ritual_2020","kapitany r;kavanagh c;whitehouse h","ritual morphospace revisited: the form, function and factor structure of ritual practice","philosophical transactions of the royal society b-biological sciences","10.1098/rstb.2019.0436",1,2020,0.437750246437181
"legare_ritual_2020","legare ch;nielsen m","ritual explained: interdisciplinary answers to tinbergen's four questions","philosophical transactions of the royal society b-biological sciences","10.1098/rstb.2019.0419",1,2020,0.439957782390781
"winkelman_cross-cultural_2021","winkelman mj","a cross-cultural study of the elementary forms of religious life: shamanistic healers, priests, and witches","religion brain \& behavior","10.1080/2153599x.2020.1770845",1,2021,0.288908496165776
"stanford_cultural_2020","stanford m","the cultural evolution of human nature","acta biotheoretica","10.1007/s10441-019-09367-7",1,2020,0.490339926075684
"rockman_expanding_2020","rockman m;hritz c","expanding use of archaeology in climate change response by changing its social environment","proceedings of the national academy of sciences of the united states of america","10.1073/pnas.1914213117",1,2020,0.789751990530741
"van_vugt_genes_2020","van vugt m;von rueden cr","from genes to minds to cultures: evolutionary approaches to leadership","leadership quarterly","10.1016/j.leaqua.2020.101404",1,2020,0.428217216188378
"palecek_evolution_2020","palecek m","the evolution of `culture': juggling a concept","anthropological theory","10.1177/1463499618814598",1,2020,0.711130497680127
"you_guest_2020","you z;hardwick pa","guest editors' introduction intangible cultural heritage in asia traditions in transition","asian ethnology","NA",1,2020,0.55850716812971
"purzycki_buddha_2019","purzycki bg;holland ec","buddha as a god: an empirical assessment","method \& theory in the study of religion","10.1163/15700682-12341453",1,2019,0.348732442859637
"acerbi_cognitive_2019","acerbi a","cognitive attraction and online misinformation","palgrave communications","10.1057/s41599-019-0224-y",1,2019,0.513060415977188
"fahy_learning_2019","fahy j","learning to love krishna: a living theology of moral emotions","ethnos","10.1080/00141844.2017.1383500",1,2019,0.356545157403312
"van_schaik_cultural_2019","van schaik cp","cultural anthropology's love-hate relationship with evolution: what will the future bring?","zeitschrift fur ethnologie","NA",1,2019,0.736483361929181
"zeder_why_2018","zeder ma","why evolutionary biology needs anthropology: evaluating core assumptions of the extended evolutionary synthesis","evolutionary anthropology","10.1002/evan.21747",1,2018,0.590983215545864
"purzycki_cognitive_2018","purzycki bg;pisor ac;apicella q;cohen e;henrich j;mcelreath r;mcnamara ra;norenzayan a;willard ak;xygalatas d","the cognitive and cultural foundations of moral behavior","evolution and human behavior","10.1016/j.evolhumbehav.2018.04.004",1,2018,0.255273778859509
"brewer_cultural_2018","brewer j;riede f","cultural heritage and climate adaptation: a cultural evolutionary perspective for the anthropocene","world archaeology","10.1080/00438243.2018.1527246",1,2018,0.688494128369433
"forth_living_2018","forth g","``living' in nage, or the meaning of ``life' in an eastern indonesian society","oceania","10.1002/ocea.5187",1,2018,0.50403569119027
"mesoudi_what_2018","mesoudi a;thornton a","what is cumulative cultural evolution?","proceedings of the royal society b-biological sciences","10.1098/rspb.2018.0712",1,2018,0.820394971976754
"kolodny_evolution_2018","kolodny o;edelman s","the evolution of the capacity for language: the ecological context and adaptive value of a process of cognitive hijacking","philosophical transactions of the royal society b-biological sciences","10.1098/rstb.2017.0052",1,2018,0.434775339118062
"gilgenmann_evolutionary_2018","gilgenmann k","evolutionary anthropologies and the social sciences in dieter claessens","iride-filosofia e discussione pubblica","10.1414/90191",1,2018,0.605676317904481
"zwissler_in_2018","zwissler l","in the study of the witch: women, shadows, and the academic study of religions","religions","10.3390/rel9040105",1,2018,0.28882486327794
"purzycki_evolution_2018","purzycki bg;henrich j;apicella qd;baimel a;cohen e;mcnamara ra;willard ak;xygalatas d;norenzayan a","the evolution of religion and morality: a synthesis of ethnographic and experimental evidence from eight societies","religion brain \& behavior","10.1080/2153599x.2016.1267027",1,2018,0.376968812933244
"sterelny_religion_2018","sterelny k","religion re-explained","religion brain \& behavior","10.1080/2153599x.2017.1323779",1,2018,0.512556773821292
"lewens_human_2017","lewens t","human nature, human culture: the case of cultural evolution","interface focus","10.1098/rsfs.2017.0018",1,2017,0.812606234460329
"marks_what_2017","marks j","what if the human mind evolved for nonrational thought? an anthropological perspective","zygon","10.1111/zygo.12350",1,2017,0.227297594086958
"watkins_pleistocene_2017","watkins t","from pleistocene to holocene: the prehistory of southwest asia in evolutionary context","history and philosophy of the life sciences","10.1007/s40656-017-0152-3",1,2017,0.536947742419769
"stout_evolutionary_2017","stout d;hecht ee","evolutionary neuroscience of cumulative culture","proceedings of the national academy of sciences of the united states of america","10.1073/pnas.1620738114",1,2017,0.603169741845235
"buskell_what_2017","buskell a","what are cultural attractors?","biology \& philosophy","10.1007/s10539-017-9570-6",1,2017,0.856952219022235
