mybibtex_key,Author(s),Title,Outlet,DOI,Cluster,Year of publication,size,closeness_centrality,degree_centrality
ellis_ecology_2015,ellis ec,ecology in an anthropogenic biosphere,ecological monographs,10.1890/14-2274.1,1,2015,22,0.91642253405633,0.9779951100244498
mesoudi_how_2009,mesoudi a,how cultural evolutionary theory can inform social psychology and vice versa,psychological review,10.1037/a0017062,1,2009,6,0.832058472741742,0.8337408312958435
whiten_culture_2011,whiten a;hinde ra;laland kn;stringer cb,culture evolves introduction,philosophical transactions of the royal society b-biological sciences,10.1098/rstb.2010.0372,1,2011,3973,0.8452067072995422,0.8141809290953546
mesoudi_towards_2006,mesoudi a;whiten a;laland kn,towards a unified science of cultural evolution,behavioral and brain sciences,10.1017/s0140525x06009083,1,2006,2,0.7728816730058776,0.80440097799511
acerbi_if_2015,acerbi a;mesoudi a,if we are all cultural darwinians what's the fuss about? clarifying recent disagreements in the field of cultural evolution,biology \& philosophy,10.1007/s10539-015-9490-2,1,2015,1,0.7442520779323503,0.7775061124694377
palecek_evolution_2020,palecek m,the evolution of `culture': juggling a concept,anthropological theory,10.1177/1463499618814598,1,2020,10,0.8603098001649666,0.706601466992665
birch_cultural_2021,birch j;heyes c,the cultural evolution of cultural evolution,philosophical transactions of the royal society b-biological sciences,10.1098/rstb.2020.0051,1,2021,7,0.7236233886814263,0.6674816625916871
atran_cultural_2005,atran s;medin dl;ross no,the cultural mind: environmental decision making and cultural modeling within and across populations,psychological review,10.1037/0033-295x.112.4.744,1,2005,5,0.8595650619766038,0.6577017114914425
buskell_what_2017,buskell a,what are cultural attractors?,biology \& philosophy,10.1007/s10539-017-9570-6,1,2017,1,0.6432355063787363,0.6577017114914425
perry_what_2006,perry se,what cultural primatology can tell anthropologists about the evolution of culture,annual review of anthropology,10.1146/annurev.anthro.35.081705.123312,1,2006,19,0.7348680216107033,0.6479217603911981
gabora_cultural_2008,gabora l,the cultural evolution of socially situated cognition,cognitive systems research,10.1016/j.cogsys.2007.05.004,1,2008,6,0.6804027866992676,0.6479217603911981
gautney_new_2015,gautney jr;holliday tw,new estimations of habitable land area and human population size at the last glacial maximum,journal of archaeological science,10.1016/j.jas.2015.03.028,2,2015,14,0.6526822377063254,0.6919315403422983
barcelo_modeling_2014,barcelo ja;capuzzo g;bogdanovic i,modeling expansive phenomena in early complex societies: the transition from bronze iron age in prehistoric europe,journal of archaeological method and theory,10.1007/s10816-013-9195-2,2,2014,5,0.7069925648353326,0.6919315403422983
tremayne_mid_2017,tremayne ah;brown wa,"mid to late holocene population trends, culture change and marine resource intensification in western alaska",arctic,10.14430/arctic4681,2,2017,7,0.8329090079571736,0.5672371638141809
